Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),O Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (°C),NH3 (µg/m³),Temp,To Date,Xylene (µg/m³)
01-01-2024 00:00,71.79,144.17,3.96,36.96,20.99,,0.37,44.26,7.62,9.89,0.69,2.13,,67.81,1.35,71.29,67.06,1001.0,0.99,24.04,,,,
02-01-2024 00:00,64.05,119.57,3.1,19.36,11.76,,0.57,48.02,1.9,0.9,0.06,0.21,,75.44,0.95,102.09,67.32,1001.0,0.96,22.18,,,,
03-01-2024 00:00,51.29,127.19,4.75,25.21,15.84,,0.49,30.59,9.51,16.63,0.9,2.57,,67.99,1.26,100.79,73.66,1001.0,0.79,21.61,,,,
04-01-2024 00:00,53.07,127.23,4.83,28.44,17.47,,0.42,29.51,7.46,7.94,0.33,1.31,,65.28,1.06,99.61,75.23,1001.0,0.55,21.32,,,,
05-01-2024 00:00,58.06,127.47,9.63,34.51,24.02,,0.51,29.89,8.11,13.16,1.07,3.53,,58.17,1.41,84.31,74.5,1001.0,0.69,21.39,,,,
06-01-2024 00:00,50.26,104.6,3.14,22.23,13.19,,0.39,34.28,12.23,30.51,1.39,3.4,,63.33,1.3,95.29,74.86,1001.0,0.64,20.21,,,,
07-01-2024 00:00,47.54,104.35,2.86,16.71,10.29,,0.42,49.26,2.4,7.5,0.49,0.5,,67.4,1.34,98.32,69.89,1001.0,0.59,21.23,,,,
08-01-2024 00:00,54.13,111.92,4.14,25.06,15.31,,0.52,51.34,1.3,8.58,0.57,0.59,,74.25,1.78,79.74,61.98,1001.0,0.52,22.63,,,,
09-01-2024 00:00,61.67,139.61,4.09,37.13,21.17,,0.41,41.38,0.73,3.84,0.49,0.32,,63.4,2.89,50.54,58.94,1001.0,0.48,24.24,,,,
10-01-2024 00:00,59.88,129.13,4.23,26.23,15.95,,0.44,46.69,2.01,7.58,0.52,0.61,,68.96,1.43,87.35,65.1,1001.0,0.61,22.91,,,,
11-01-2024 00:00,54.33,117.3,8.04,33.93,22.56,,0.61,47.67,0.79,3.59,0.54,0.33,,67.81,0.69,94.83,72.74,1001.0,0.39,23.8,,,,
