Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),,sub(pm10),sub(pm2.5),so2(sub),sub(no2),(sub)nh3,check(pm10),check(pm2.5),check(s02),check(no2),check(nh3),AQI
01-01-2020,356.62,431.58,87.74,55.86,101.22,33.22,18.71,3.24,4.32,11.91,73.48,,,7.61,71.4,0.75,114.03,67.96,993.69,,402,482,23,70,8,1,1,1,1,1,482
02-01-2020,373.76,480.37,109.86,59.02,121.49,35.06,26.92,4.05,4.25,14.9,94.24,,,8.7,68.36,0.6,194.88,61.81,993.48,,463,495,34,74,9,1,1,1,1,1,495
03-01-2020,205.36,289.09,66.71,42.96,78,27.01,13.99,2.33,1.61,9.71,96.69,,,9.26,67.17,0.78,173.54,62.92,991.32,,239,366,17,54,7,1,1,1,1,1,366
04-01-2020,202.78,292.37,43.73,53.24,63.93,24.32,18.92,1.99,1.57,8.07,56.62,,,9.03,68.3,1,290.67,59.29,990.33,,242,364,24,67,6,1,1,1,1,1,364
05-01-2020,168.58,249.58,18.14,48.32,40.52,18.93,14.13,1.23,1.85,4.74,40.03,,,8.84,64.22,1.28,284.27,70.32,990.8,,200,337,18,60,5,1,1,1,1,1,337
06-01-2020,141.03,207.88,9.86,43.91,31.4,15.93,18.75,1.05,1.4,3.94,32.12,,,8.95,63.05,0.93,170.67,41.62,991.68,,172,316,23,55,4,1,1,1,1,1,316
07-01-2020,116.47,149.51,3.79,25.58,16.5,17.02,16.74,0.84,2.07,3.31,17.28,,,8.98,72.86,1.11,107.07,39.52,989.53,,133,288,21,32,4,1,1,1,1,1,288
08-01-2020,137.33,159.95,14.69,27.51,26.67,18.69,15.15,1.08,1.15,3.9,21.29,,,8.52,80.54,1.02,182.33,14.84,987.5,,140,313,19,34,5,1,1,1,1,1,313
09-01-2020,101.77,134.33,9.53,26.55,21.85,14.72,10.34,0.78,1.51,2.87,16.73,,,7.62,74.57,1.8,308.38,68.83,992.22,,123,239,13,33,4,1,1,1,1,1,239
10-01-2020,144.67,210.41,18.17,43.44,38.1,15.91,13.05,1.26,2.11,4.44,23.69,,,7.73,71.32,1.77,297.38,75.49,992.45,,174,319,16,54,4,1,1,1,1,1,319
11-01-2020,164.85,246.17,22.91,49.18,44.91,18.35,14.74,1.42,2.37,5.41,29.7,,,8.29,62.09,1.43,287.16,76.15,992.2,,197,335,18,61,5,1,1,1,1,1,335
12-01-2020,205.62,301.88,34.16,55.11,57.39,20.83,16.33,1.95,2.02,7.53,51.11,,,8.84,62.26,0.95,248.57,72.8,989.27,,252,366,20,69,5,1,1,1,1,1,366
13-01-2020,223.22,305.46,18.89,41.55,37.35,22.58,14.99,1.88,2.87,6.75,38.25,,,9.09,68.75,1.47,160.51,56.9,984.9,,255,379,19,52,6,1,1,1,1,1,379
14-01-2020,129.09,174.86,18.48,35.96,34.4,24.08,10.95,1.43,1.5,4.55,31.15,,,8.55,74.92,1.3,317.54,69.18,988.37,,150,307,14,45,6,1,1,1,1,1,307
15-01-2020,113.67,180.07,23.45,44.07,42.82,22.95,10.49,1.23,1.81,4.79,38.75,,,8.54,72.29,1.12,278.82,73.56,989.4,,153,279,13,55,6,1,1,1,1,1,279
16-01-2020,144.47,199.3,27.07,40.5,43.62,23.9,11.77,1.24,1.26,5.5,36.97,,,8.27,76.28,1.01,293.28,41.57,988.29,,166,319,15,51,6,1,1,1,1,1,319
17-01-2020,96.05,138.59,22.96,31.04,35.26,21.11,10.99,1.07,2.31,4.49,31.64,,,8.6,79.23,1.24,278.4,68.97,989.52,,126,220,14,39,5,1,1,1,1,1,220
