Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),From Date,PM2.5,PM10,NO,NO2,NOx,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,RH,WS,WD,SR,BP,VWS,AT,NH3,Temp,To Date,Xylene
2020-01-01 00:00:00,356.62,431.58,87.74,55.86,101.22,33.22,18.71,3.24,4.32,11.91,73.48,,,,,7.61,71.4,0.75,114.03,0.0,0.0,67.96,993.69,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00,373.76,480.37,109.86,59.02,121.49,35.06,26.92,4.05,4.25,14.9,94.24,,,,,8.7,68.36,0.6,194.88,0.0,0.0,61.81,993.48,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 00:00:00,205.36,289.09,66.71,42.96,78.0,27.01,13.99,2.33,1.61,9.71,96.69,,,,,9.26,67.17,0.78,173.54,0.0,0.0,62.92,991.32,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04 00:00:00,202.78,292.37,43.73,53.24,63.93,24.32,18.92,1.99,1.57,8.07,56.62,,,,,9.03,68.3,1.0,290.67,0.0,0.0,59.29,990.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05 00:00:00,168.58,249.58,18.14,48.32,40.52,18.93,14.13,1.23,1.85,4.74,40.03,,,,,8.84,64.22,1.28,284.27,0.0,0.0,70.32,990.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 00:00:00,141.03,207.88,9.86,43.91,31.4,15.93,18.75,1.05,1.4,3.94,32.12,,,,,8.95,63.05,0.93,170.67,0.0,0.0,41.62,991.68,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07 00:00:00,116.47,149.51,3.79,25.58,16.5,17.02,16.74,0.84,2.07,3.31,17.28,,,,,8.98,72.86,1.11,107.07,0.0,0.0,39.52,989.53,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08 00:00:00,137.33,159.95,14.69,27.51,26.67,18.69,15.15,1.08,1.15,3.9,21.29,,,,,8.52,80.54,1.02,182.33,0.0,0.4,14.84,987.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09 00:00:00,101.77,134.33,9.53,26.55,21.85,14.72,10.34,0.78,1.51,2.87,16.73,,,,,7.62,74.57,1.8,308.38,0.0,0.0,68.83,992.22,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10 00:00:00,144.67,210.41,18.17,43.44,38.1,15.91,13.05,1.26,2.11,4.44,23.69,,,,,7.73,71.32,1.77,297.38,0.0,0.0,75.49,992.45,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11 00:00:00,164.85,246.17,22.91,49.18,44.91,18.35,14.74,1.42,2.37,5.41,29.7,,,,,8.29,62.09,1.43,287.16,0.0,0.0,76.15,992.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12 00:00:00,205.62,301.88,34.16,55.11,57.39,20.83,16.33,1.95,2.02,7.53,51.11,,,,,8.84,62.26,0.95,248.57,0.0,0.0,72.8,989.27,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13 00:00:00,223.22,305.46,18.89,41.55,37.35,22.58,14.99,1.88,2.87,6.75,38.25,,,,,9.09,68.75,1.47,160.51,0.0,0.0,56.9,984.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14 00:00:00,129.09,174.86,18.48,35.96,34.4,24.08,10.95,1.43,1.5,4.55,31.15,,,,,8.55,74.92,1.3,317.54,0.0,0.0,69.18,988.37,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15 00:00:00,113.67,180.07,23.45,44.07,42.82,22.95,10.49,1.23,1.81,4.79,38.75,,,,,8.54,72.29,1.12,278.82,0.0,0.0,73.56,989.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16 00:00:00,144.47,199.3,27.07,40.5,43.62,23.9,11.77,1.24,1.26,5.5,36.97,,,,,8.27,76.28,1.01,293.28,0.01,1.2,41.57,988.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17 00:00:00,96.05,138.59,22.96,31.04,35.26,21.11,10.99,1.07,2.31,4.49,31.64,,,,,8.6,79.23,1.24,278.4,0.01,1.2,68.97,989.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18 00:00:00,144.86,225.21,41.58,41.04,55.94,23.69,12.14,1.66,1.81,7.37,56.21,,,,,8.14,78.86,0.85,261.22,0.0,0.0,51.73,991.23,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19 00:00:00,140.98,197.77,6.38,26.51,19.29,22.88,7.51,0.69,1.65,3.44,16.4,,,,,7.64,74.94,2.11,287.36,0.0,0.0,80.87,991.81,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20 00:00:00,141.94,219.83,22.5,32.13,35.44,20.13,10.2,1.27,2.85,4.16,15.14,,,,,7.85,78.21,1.33,272.6,0.0,0.0,66.51,990.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21 00:00:00,199.98,304.02,25.81,39.14,41.98,22.26,14.56,1.31,4.32,4.95,19.55,,,,,8.33,76.55,0.69,119.15,0.0,0.0,71.68,991.56,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22 00:00:00,207.85,315.03,70.56,57.39,88.07,24.04,17.54,2.11,2.11,8.77,41.77,,,,,8.33,76.35,1.62,279.14,0.0,0.0,77.8,993.27,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23 00:00:00,73.76,139.53,8.67,39.85,28.28,16.94,8.98,0.57,2.59,2.74,10.63,,,,,8.73,59.26,2.77,295.7,0.0,0.0,90.85,991.66,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24 00:00:00,75.6,154.51,24.79,46.77,45.29,16.64,10.58,1.04,3.78,3.06,11.3,,,,,8.73,54.79,2.86,291.47,0.0,0.0,89.39,989.09,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25 00:00:00,126.04,224.5,35.82,67.06,64.83,20.31,12.87,1.66,3.7,5.12,23.17,,,,,8.73,59.03,1.23,283.65,0.0,0.0,88.18,989.37,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26 00:00:00,185.04,284.88,48.34,61.52,72.55,26.16,13.91,1.91,2.27,7.8,42.22,,,,,8.97,63.3,1.1,274.09,0.0,0.0,88.1,987.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27 00:00:00,176.38,257.54,23.5,60.56,51.95,25.28,20.37,1.33,1.69,5.24,22.02,,,,,9.54,62.46,0.96,123.3,0.0,0.0,64.38,985.05,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 00:00:00,123.11,152.74,6.38,32.05,22.26,20.94,12.44,0.91,1.94,3.19,10.68,,,,,9.34,72.58,1.31,120.29,0.03,3.2,70.98,983.83,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29 00:00:00,78.67,132.11,33.48,46.04,51.85,18.75,11.02,1.23,1.86,3.49,16.7,,,,,9.06,68.68,1.27,261.79,0.0,0.0,96.7,989.62,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30 00:00:00,91.44,165.49,27.64,48.04,48.06,18.21,9.22,1.16,1.52,4.51,19.52,,,,,8.87,67.88,1.74,302.12,0.0,0.0,98.39,990.48,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31 00:00:00,80.12,147.54,33.34,48.41,52.94,16.85,10.19,1.13,1.54,3.44,15.13,,,,,8.41,65.68,1.63,284.06,0.0,0.0,107.45,988.34,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01 00:00:00,103.09,177.03,40.53,44.05,56.51,16.89,9.85,1.07,2.56,4.29,16.65,,,,,8.39,69.37,1.17,240.37,0.0,0.0,140.92,990.51,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02 00:00:00,118.14,195.15,20.75,50.2,43.69,18.37,11.52,1.11,33.07,3.83,14.8,,,,,8.45,66.72,1.65,291.77,0.0,0.0,109.11,992.59,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 00:00:00,120.09,199.85,22.75,57.43,49.2,18.57,11.21,1.24,39.36,3.79,15.08,,,,,8.88,59.71,1.31,239.96,0.0,0.0,114.32,991.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04 00:00:00,167.23,283.27,43.54,57.81,67.02,20.64,23.53,1.7,60.02,5.22,28.0,,,,,8.81,60.14,0.83,133.15,0.0,0.0,100.29,989.71,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05 00:00:00,139.54,229.77,24.31,57.26,50.37,20.17,12.62,1.24,39.49,5.12,22.99,,,,,8.99,62.23,1.44,297.86,0.0,0.0,108.36,989.96,,,,,,,,,,,,,,,,,,,,,,,,,,
